Total Documents,Total Characters,Chunking Time (s),Build Time (s),Search Time (s),Total Time (s)
9,140043,0.49,18.91,0.0409,25.18
7,87135,0.36,13.73,0.0411,19.39
8,425098,0.84,52.19,0.0354,58.32
8,99308,0.39,13.99,0.0385,19.57
9,110377,0.39,19.4,0.0645,24.92
10,136878,0.43,27.61,0.0397,32.96
11,393914,0.84,63.6,0.0457,69.64
11,393914,0.85,67.65,0.0441,74.05
11,157459,1.31,38.16,0.0381,46.65
12,177047,1.63,44.83,0.0361,52.28
13,181991,1.44,47.55,0.0539,54.6
10,432208,1.65,63.28,0.0409,70.37
10,409043,1.59,74.44,0.0419,81.74
11,408027,1.64,63.67,0.0479,70.8
