Total Documents,Total Characters,Chunking Time (s),Build Time (s),Total Time (s)
2,27838,0.13,1.16,5.08
2,27838,0.12,1.17,4.86
2,27838,0.13,1.12,4.97
3,50706,0.21,1.51,5.38
3,50706,0.16,1.46,5.06
3,50706,0.16,1.41,5.01
5,97668,0.3,5.27,9.15
5,97668,0.27,5.09,8.59
5,97668,0.29,5.13,8.92
7,146735,0.44,8.62,12.79
7,146735,0.41,8.51,12.45
7,146735,0.42,8.56,12.36
9,196301,0.57,11.6,18.78
9,196301,0.56,11.64,15.7
9,196301,0.58,11.65,18.75
11,337266,0.78,14.64,19.16
11,337266,0.78,14.38,18.82
11,337266,0.8,14.84,19.45
13,363045,0.91,16.56,21.49
13,363045,0.85,16.65,20.94
13,363045,0.92,16.59,21.57
15,394642,0.96,19.42,24.11
14,268151,0.82,17.72,22.59
15,394642,0.99,19.06,24.3
15,394642,0.96,18.81,23.43
16,414114,1.0,19.18,24.03
16,414114,0.97,19.14,24.07
16,414114,0.98,19.12,24.3
17,433586,1.04,19.77,24.83
17,433586,1.01,19.41,26.98
17,433586,1.02,19.39,26.84
19,472530,1.16,19.9,24.99
19,472530,1.09,20.27,28.17
19,472530,1.09,20.12,27.83
20,492002,1.14,20.03,27.94
20,492002,1.13,20.15,27.8
20,492002,1.14,20.08,27.99
21,511474,1.18,20.45,28.36
21,511474,1.17,20.32,25.05
21,511474,1.18,20.61,28.18
22,530946,1.23,20.67,25.72
22,530946,1.2,20.59,25.37
23,550418,1.35,21.56,29.62
23,550418,1.26,21.4,26.27
24,569890,1.32,21.28,26.15
24,569890,1.31,21.64,29.53
24,569890,1.34,21.8,29.94
25,589362,1.41,21.58,26.68
25,589362,1.36,21.52,26.65
25,589362,1.38,21.76,27.14
26,608834,1.39,21.91,27.09
26,608834,1.44,22.89,31.13
26,608834,1.44,22.51,30.66
