Total Documents,Total Characters,initalsearchingtime,othersearchingtime
2,27838,0.194,0.1312
2,27838,0.1752,0.1295
3,50706,0.1592,0.1291
3,50706,0.1563,0.1259
5,97668,0.1626,0.1267
5,97668,0.1573,0.1272
5,97668,0.1551,0.127
7,146735,0.1638,0.1337
7,146735,0.1536,0.1259
9,196301,0.2749,0.1314
9,196301,0.1765,0.1313
11,337266,0.1807,0.1327
11,337266,0.158,0.128
13,363045,0.1652,0.1275
13,363045,0.1552,0.1266
15,394642,0.168,0.1272
15,394642,0.1597,0.1271
16,414114,0.1704,0.1265
16,414114,0.1537,0.1282
17,433586,0.3055,0.1301
17,433586,0.1545,0.127
19,472530,0.1701,0.1285
19,472530,0.1563,0.1263
20,492002,0.1687,0.128
20,492002,0.1545,0.1272
21,511474,0.1708,0.1288
21,511474,0.1548,0.1296
22,530946,0.2514,0.1335
22,530946,0.1585,0.1281
23,550418,0.2143,0.1383
23,550418,0.1638,0.1538
24,569890,0.1773,0.1268
24,569890,0.1845,0.1356
25,589362,0.1718,0.135
25,589362,0.2039,0.1319
26,608834,0.2318,0.1365
26,608834,0.1589,0.128
