pdfs,chunkingtime,embeddingtime,faissbuildtime,savingtime,totalbuildtime
5,65,0.24,6.25,0.00,0.00,10.35
7,67,0.31,8.01,0.00,0.00,13.73
10,163,0.62,14.76,0.00,0.01,21.33
10,163,0.53,14.25,0.00,0.00,24.11
10,163,0.35,12.93,0.00,0.00,21.74
10,163,0.36,13.39,0.00,0.00,18.26
10,163,0.59,14.30,0.00,0.01,20.40
15,263,0.90,28.11,0.00,0.01,38.31
17,265,1.02,24.74,0.00,0.02,31.93
17,265,0.78,30.35,0.00,0.01,36.33
21,285,0.92,27.77,0.00,0.01,34.21
21,285,0.62,24.72,0.00,0.00,28.85
21,285,0.63,33.24,0.00,0.01,40.93
23,287,0.89,30.41,0.00,0.00,36.90
23,287,0.68,29.54,0.00,0.00,35.43
23,287,1.05,27.82,0.00,0.02,35.05
23,287,0.89,28.10,0.00,0.02,35.10
